id,name,chain,legendary,mythical,type
1,이상해씨,1,0,0,풀
2,이상해풀,1,0,0,풀
3,이상해꽃,1,0,0,풀
4,파이리,2,0,0,불꽃
5,리자드,2,0,0,불꽃
6,리자몽,2,0,0,불꽃
7,꼬부기,3,0,0,물
8,어니부기,3,0,0,물
9,거북왕,3,0,0,물
10,캐터피,4,0,0,벌레
11,단데기,4,0,0,벌레
12,버터플,4,0,0,벌레
13,뿔충이,5,0,0,벌레
14,딱충이,5,0,0,벌레
15,독침붕,5,0,0,벌레
16,구구,6,0,0,노말
17,피죤,6,0,0,노말
18,피죤투,6,0,0,노말
19,꼬렛,7,0,0,노말
20,레트라,7,0,0,노말
21,깨비참,8,0,0,노말
22,깨비드릴조,8,0,0,노말
23,아보,9,0,0,독
24,아보크,9,0,0,독
25,피카츄,10,0,0,전기
26,라이츄,10,0,0,전기
27,모래두지,11,0,0,땅
28,고지,11,0,0,땅
29,니드런♀,12,0,0,독
30,니드리나,12,0,0,독
31,니드퀸,12,0,0,독
32,니드런♂,13,0,0,독
33,니드리노,13,0,0,독
34,니드킹,13,0,0,독
35,삐삐,14,0,0,페어리
36,픽시,14,0,0,페어리
37,식스테일,15,0,0,불꽃
38,나인테일,15,0,0,불꽃
39,푸린,16,0,0,노말
40,푸크린,16,0,0,노말
41,주뱃,17,0,0,독
42,골뱃,17,0,0,독
43,뚜벅쵸,18,0,0,풀
44,냄새꼬,18,0,0,풀
45,라플레시아,18,0,0,풀
46,파라스,19,0,0,벌레
47,파라섹트,19,0,0,벌레
48,콘팡,20,0,0,벌레
49,도나리,20,0,0,벌레
50,디그다,21,0,0,땅
51,닥트리오,21,0,0,땅
52,나옹,22,0,0,노말
53,페르시온,22,0,0,노말
54,고라파덕,23,0,0,물
55,골덕,23,0,0,물
56,망키,24,0,0,격투
57,성원숭,24,0,0,격투
58,가디,25,0,0,불꽃
59,윈디,25,0,0,불꽃
60,발챙이,26,0,0,물
61,슈륙챙이,26,0,0,물
62,강챙이,26,0,0,물
63,캐이시,27,0,0,에스퍼
64,윤겔라,27,0,0,에스퍼
65,후딘,27,0,0,에스퍼
66,알통몬,28,0,0,격투
67,근육몬,28,0,0,격투
68,괴력몬,28,0,0,격투
69,모다피,29,0,0,풀
70,우츠동,29,0,0,풀
71,우츠보트,29,0,0,풀
72,왕눈해,30,0,0,물
73,독파리,30,0,0,물
74,꼬마돌,31,0,0,바위
75,데구리,31,0,0,바위
76,딱구리,31,0,0,바위
77,포니타,32,0,0,불꽃
78,날쌩마,32,0,0,불꽃
79,야돈,33,0,0,물
80,야도란,33,0,0,물
81,코일,34,0,0,전기
82,레어코일,34,0,0,전기
83,파오리,35,0,0,노말
84,두두,36,0,0,노말
85,두트리오,36,0,0,노말
86,쥬쥬,37,0,0,물
87,쥬레곤,37,0,0,물
88,질퍽이,38,0,0,독
89,질뻐기,38,0,0,독
90,셀러,39,0,0,물
91,파르셀,39,0,0,물
92,고오스,40,0,0,고스트
93,고우스트,40,0,0,고스트
94,팬텀,40,0,0,고스트
95,롱스톤,41,0,0,바위
96,슬리프,42,0,0,에스퍼
97,슬리퍼,42,0,0,에스퍼
98,크랩,43,0,0,물
99,킹크랩,43,0,0,물
100,찌리리공,44,0,0,전기
101,붐볼,44,0,0,전기
102,아라리,45,0,0,풀
103,나시,45,0,0,풀
104,탕구리,46,0,0,땅
105,텅구리,46,0,0,땅
106,시라소몬,47,0,0,격투
107,홍수몬,47,0,0,격투
108,내루미,48,0,0,노말
109,또가스,49,0,0,독
110,또도가스,49,0,0,독
111,뿔카노,50,0,0,땅
112,코뿌리,50,0,0,땅
113,럭키,51,0,0,노말
114,덩쿠리,52,0,0,풀
115,캥카,53,0,0,노말
116,쏘드라,54,0,0,물
117,시드라,54,0,0,물
118,콘치,55,0,0,물
119,왕콘치,55,0,0,물
120,별가사리,56,0,0,물
121,아쿠스타,56,0,0,물
122,마임맨,57,0,0,에스퍼
123,스라크,58,0,0,벌레
124,루주라,59,0,0,얼음
125,에레브,60,0,0,전기
126,마그마,61,0,0,불꽃
127,쁘사이저,62,0,0,벌레
128,켄타로스,63,0,0,노말
129,잉어킹,64,0,0,물
130,갸라도스,64,0,0,물
131,라프라스,65,0,0,물
132,메타몽,66,0,0,노말
133,이브이,67,0,0,노말
134,샤미드,67,0,0,물
135,쥬피썬더,67,0,0,전기
136,부스터,67,0,0,불꽃
137,폴리곤,68,0,0,노말
138,암나이트,69,0,0,바위
139,암스타,69,0,0,바위
140,투구,70,0,0,바위
141,투구푸스,70,0,0,바위
142,프테라,71,0,0,바위
143,잠만보,72,0,0,노말
144,프리져,73,1,0,얼음
145,썬더,74,1,0,전기
146,파이어,75,1,0,불꽃
147,미뇽,76,0,0,드래곤
148,신뇽,76,0,0,드래곤
149,망나뇽,76,0,0,드래곤
150,뮤츠,77,1,0,에스퍼
151,뮤,78,0,1,에스퍼
152,치코리타,79,0,0,풀
153,베이리프,79,0,0,풀
154,메가니움,79,0,0,풀
155,브케인,80,0,0,불꽃
156,마그케인,80,0,0,불꽃
157,블레이범,80,0,0,불꽃
158,리아코,81,0,0,물
159,엘리게이,81,0,0,물
160,장크로다일,81,0,0,물
161,꼬리선,82,0,0,노말
162,다꼬리,82,0,0,노말
163,부우부,83,0,0,노말
164,야부엉,83,0,0,노말
165,레디바,84,0,0,벌레
166,레디안,84,0,0,벌레
167,페이검,85,0,0,벌레
168,아리아도스,85,0,0,벌레
169,크로뱃,17,0,0,독
170,초라기,86,0,0,물
171,랜턴,86,0,0,물
172,피츄,10,0,0,전기
173,삐,14,0,0,페어리
174,푸푸린,16,0,0,노말
175,토게피,87,0,0,페어리
176,토게틱,87,0,0,페어리
177,네이티,88,0,0,에스퍼
178,네이티오,88,0,0,에스퍼
179,메리프,89,0,0,전기
180,보송송,89,0,0,전기
181,전룡,89,0,0,전기
182,아르코,18,0,0,풀
183,마릴,90,0,0,물
184,마릴리,90,0,0,물
185,꼬지모,91,0,0,바위
186,왕구리,26,0,0,물
187,통통코,92,0,0,풀
188,두코,92,0,0,풀
189,솜솜코,92,0,0,풀
190,에이팜,93,0,0,노말
191,해너츠,94,0,0,풀
192,해루미,94,0,0,풀
193,왕자리,95,0,0,벌레
194,우파,96,0,0,물
195,누오,96,0,0,물
196,에브이,67,0,0,에스퍼
197,블래키,67,0,0,악
198,니로우,97,0,0,악
199,야도킹,33,0,0,물
200,무우마,98,0,0,고스트
201,안농,99,0,0,에스퍼
202,마자용,100,0,0,에스퍼
203,키링키,101,0,0,노말
204,피콘,102,0,0,벌레
205,쏘콘,102,0,0,벌레
206,노고치,103,0,0,노말
207,글라이거,104,0,0,땅
208,강철톤,41,0,0,강철
209,블루,105,0,0,페어리
210,그랑블루,105,0,0,페어리
211,침바루,106,0,0,물
212,핫삼,58,0,0,벌레
213,단단지,107,0,0,벌레
214,헤라크로스,108,0,0,벌레
215,포푸니,109,0,0,악
216,깜지곰,110,0,0,노말
217,링곰,110,0,0,노말
218,마그마그,111,0,0,불꽃
219,마그카르고,111,0,0,불꽃
220,꾸꾸리,112,0,0,얼음
221,메꾸리,112,0,0,얼음
222,코산호,113,0,0,물
223,총어,114,0,0,물
224,대포무노,114,0,0,물
225,딜리버드,115,0,0,얼음
226,만타인,116,0,0,물
227,무장조,117,0,0,강철
228,델빌,118,0,0,악
229,헬가,118,0,0,악
230,킹드라,54,0,0,물
231,코코리,119,0,0,땅
232,코리갑,119,0,0,땅
233,폴리곤2,68,0,0,노말
234,노라키,120,0,0,노말
235,루브도,121,0,0,노말
236,배루키,47,0,0,격투
237,카포에라,47,0,0,격투
238,뽀뽀라,59,0,0,얼음
239,에레키드,60,0,0,전기
240,마그비,61,0,0,불꽃
241,밀탱크,122,0,0,노말
242,해피너스,51,0,0,노말
243,라이코,123,1,0,전기
244,앤테이,124,1,0,불꽃
245,스이쿤,125,1,0,물
246,애버라스,126,0,0,바위
247,데기라스,126,0,0,바위
248,마기라스,126,0,0,바위
249,루기아,127,1,0,에스퍼
250,칠색조,128,1,0,불꽃
251,세레비,129,0,1,에스퍼
252,나무지기,130,0,0,풀
253,나무돌이,130,0,0,풀
254,나무킹,130,0,0,풀
255,아차모,131,0,0,불꽃
256,영치코,131,0,0,불꽃
257,번치코,131,0,0,불꽃
258,물짱이,132,0,0,물
259,늪짱이,132,0,0,물
260,대짱이,132,0,0,물
261,포챠나,133,0,0,악
262,그라에나,133,0,0,악
263,지그제구리,134,0,0,노말
264,직구리,134,0,0,노말
265,개무소,135,0,0,벌레
266,실쿤,135,0,0,벌레
267,뷰티플라이,135,0,0,벌레
268,카스쿤,135,0,0,벌레
269,독케일,135,0,0,벌레
